service_date,mode,route_or_line,total_monthly_weekday_ridership,average_monthly_weekday_ridersh,countofdates_weekday,total_monthly_ridership,average_monthly_ridership,countofdates,ObjectId
2022/08/01 04:00:00+00,Rail,Red Line,2882976,125347,23,3488313,112526,31,728
2022/08/01 04:00:00+00,Bus,Silver Line,631876,27473,23,779211,25136,31,729
2022/08/01 04:00:00+00,The RIDE,The RIDE,76245,3466,23,89273,2880,31,730
2022/09/01 04:00:00+00,Rail,Blue Line,1013280,48251,21,1317882,43929,30,731
2022/09/01 04:00:00+00,Bus,Bus,5508602,262314,21,6616814,220560,30,732
2022/09/01 04:00:00+00,Commuter Rail,Commuter Rail,1731028,82430,21,1955305,65177,30,733
2022/09/01 04:00:00+00,Ferry,Ferry,75126,3415,21,92489,3083,30,734
2022/09/01 04:00:00+00,Rail,Green Line,2655913,126472,21,3454280,115143,30,735
2022/09/01 04:00:00+00,Rail,Orange Line,1184230,56392,21,1375056,45835,30,736
2022/09/01 04:00:00+00,Rail,Red Line,2929320,139491,21,3637251,121242,30,737
2022/09/01 04:00:00+00,Bus,Silver Line,600894,28614,21,743786,24793,30,738
2022/09/01 04:00:00+00,The RIDE,The RIDE,75614,3437,21,88976,2966,30,739
2022/10/01 04:00:00+00,Rail,Blue Line,983389,46828,21,1318541,42534,31,740
2022/10/01 04:00:00+00,Bus,Bus,5500695,261938,21,6775570,218567,31,741
2022/10/01 04:00:00+00,Commuter Rail,Commuter Rail,1764085,84004,21,2105849,67931,31,742
2022/10/01 04:00:00+00,Ferry,Ferry,68437,3111,21,79689,2571,31,743
2022/10/01 04:00:00+00,Rail,Green Line,2560380,121923,21,3457100,111519,31,744
2022/10/01 04:00:00+00,Rail,Orange Line,2209360,105208,21,2855984,92129,31,745
2022/10/01 04:00:00+00,Rail,Red Line,2959789,140942,21,3741301,120687,31,746
2022/10/01 04:00:00+00,Bus,Silver Line,587607,27981,21,758539,24469,31,747
2022/10/01 04:00:00+00,The RIDE,The RIDE,73101,3481,21,89414,2884,31,748
2022/11/01 04:00:00+00,Rail,Blue Line,930128,44292,21,1194637,39821,30,749
2022/11/01 04:00:00+00,Bus,Bus,5293748,252083,21,6312454,210415,30,750
2020/01/01 05:00:00+00,The RIDE,The RIDE,117180,5580,21,113900,3674,31,751
2020/02/01 05:00:00+00,Rail,Blue Line,1277354,67229,19,1607164,55419,29,752
2020/02/01 05:00:00+00,Bus,Bus,6745082,355004,19,8235565,283985,29,753
2020/02/01 05:00:00+00,Commuter Rail,Commuter Rail,2267555,119345,19,2415976,83310,29,754
2020/02/01 05:00:00+00,Ferry,Ferry,100833,5307,19,140662,4850,29,755
2020/02/01 05:00:00+00,Rail,Green Line,3260192,171589,19,4111130,141763,29,756
2020/02/01 05:00:00+00,Rail,Orange Line,3954096,208110,19,4558025,157173,29,757
2020/02/01 05:00:00+00,Rail,Red Line,4848407,255179,19,5777034,199208,29,758
2020/02/01 05:00:00+00,Bus,Silver Line,709788,37357,19,901915,31101,29,759
2020/02/01 05:00:00+00,The RIDE,The RIDE,109801,5779,19,98059,3381,29,760
2020/03/01 05:00:00+00,Rail,Blue Line,823532,37433,22,990544,31953,31,761
2020/03/01 05:00:00+00,Bus,Bus,4649584,211345,22,5504038,177549,31,762
2020/03/01 05:00:00+00,Commuter Rail,Commuter Rail,1003246,45602,22,1047559,33792,31,763
2020/03/01 05:00:00+00,Ferry,Ferry,66440,3020,22,86936,2804,31,764
2020/03/01 05:00:00+00,Rail,Green Line,1715174,77962,22,2035024,65646,31,765
2020/03/01 05:00:00+00,Rail,Orange Line,2249698,102259,22,2614438,84337,31,766
2020/03/01 05:00:00+00,Rail,Red Line,2676225,121647,22,3081763,99412,31,767
2020/03/01 05:00:00+00,Bus,Silver Line,479125,21778,22,592061,19099,31,768
2020/03/01 05:00:00+00,The RIDE,The RIDE,65225,2965,22,67365,2173,31,769
2020/04/01 04:00:00+00,Rail,Blue Line,167665,7621,22,204396,6813,30,770
2020/04/01 04:00:00+00,Bus,Bus,1695919,77087,22,2115394,70513,30,771
2020/04/01 04:00:00+00,Commuter Rail,Commuter Rail,52726,2397,22,55013,1834,30,772
2020/04/01 04:00:00+00,Ferry,Ferry,,,22,0,,30,773
2020/04/01 04:00:00+00,Rail,Green Line,190670,8667,22,232847,7762,30,774
2020/04/01 04:00:00+00,Rail,Orange Line,383582,17436,22,463825,15461,30,775
2020/04/01 04:00:00+00,Rail,Red Line,434375,19744,22,529103,17637,30,776
2020/04/01 04:00:00+00,Bus,Silver Line,172252,7830,22,224480,7483,30,777
2020/04/01 04:00:00+00,The RIDE,The RIDE,20397,927,22,26954,898,30,778
2020/05/01 04:00:00+00,Rail,Blue Line,119521,5976,20,161186,5200,31,779
2020/05/01 04:00:00+00,Bus,Bus,1889808,94490,20,2597139,83779,31,780
2020/05/01 04:00:00+00,Commuter Rail,Commuter Rail,54478,2724,20,62083,2003,31,781
2020/05/01 04:00:00+00,Ferry,Ferry,,,20,0,,31,782
2020/05/01 04:00:00+00,Rail,Green Line,215007,10750,20,292649,9440,31,783
2020/05/01 04:00:00+00,Rail,Orange Line,408107,20405,20,548013,17678,31,784
2020/05/01 04:00:00+00,Rail,Red Line,472272,23614,20,635404,20497,31,785
2020/05/01 04:00:00+00,Bus,Silver Line,186356,9318,20,268072,8647,31,786
2020/05/01 04:00:00+00,The RIDE,The RIDE,25153,1258,20,35627,1149,31,787
2020/06/01 04:00:00+00,Rail,Blue Line,336590,15300,22,420098,14003,30,788
2020/06/01 04:00:00+00,Bus,Bus,2658286,120831,22,3333640,111121,30,789
2020/06/01 04:00:00+00,Commuter Rail,Commuter Rail,110959,5044,22,119415,3981,30,790
2020/06/01 04:00:00+00,Ferry,Ferry,,,22,2699,90,30,791
2020/06/01 04:00:00+00,Rail,Green Line,355293,16150,22,442697,14757,30,792
2020/06/01 04:00:00+00,Rail,Orange Line,717112,32596,22,878747,29292,30,793
2020/06/01 04:00:00+00,Rail,Red Line,765860,34812,22,940803,31360,30,794
2020/06/01 04:00:00+00,Bus,Silver Line,251742,11443,22,322397,10747,30,795
2020/06/01 04:00:00+00,The RIDE,The RIDE,38247,1739,22,52195,1740,30,796
2020/07/01 04:00:00+00,Rail,Blue Line,485562,21111,23,601730,19411,31,797
2020/07/01 04:00:00+00,Bus,Bus,3063922,133214,23,3913145,126230,31,798
2020/07/01 04:00:00+00,Commuter Rail,Commuter Rail,249088,10985,23,273907,8836,31,799
2020/07/01 04:00:00+00,Ferry,Ferry,15042,654,23,15042,485,31,800
2022/11/01 04:00:00+00,Commuter Rail,Commuter Rail,1675246,79774,21,1913514,63784,30,801
2022/11/01 04:00:00+00,Ferry,Ferry,60994,2772,21,64684,2156,30,802
2022/11/01 04:00:00+00,Rail,Green Line,2464968,117379,21,3162598,105420,30,803
2022/11/01 04:00:00+00,Rail,Orange Line,2187460,104165,21,2706887,90230,30,804
2022/11/01 04:00:00+00,Rail,Red Line,2828740,134702,21,3455569,115186,30,805
2022/11/01 04:00:00+00,Bus,Silver Line,581329,27682,21,733218,24441,30,806
2022/11/01 04:00:00+00,The RIDE,The RIDE,72490,3295,21,84969,2832,30,807
2022/12/01 05:00:00+00,Rail,Blue Line,847989,40380,21,1096139,35359,31,808
2022/12/01 05:00:00+00,Bus,Bus,4733062,225384,21,5750635,185504,31,809
2022/12/01 05:00:00+00,Commuter Rail,Commuter Rail,1541928,73425,21,1752446,56531,31,810
2022/12/01 05:00:00+00,Ferry,Ferry,48765,2217,21,50342,1624,31,811
2022/12/01 05:00:00+00,Rail,Green Line,2183221,103963,21,2839842,91608,31,812
2022/12/01 05:00:00+00,Rail,Orange Line,1979416,94258,21,2466131,79553,31,813
2022/12/01 05:00:00+00,Rail,Red Line,2474876,117851,21,2993597,96568,31,814
2022/12/01 05:00:00+00,Bus,Silver Line,515883,24566,21,673921,21739,31,815
2022/12/01 05:00:00+00,The RIDE,The RIDE,69212,3146,21,83404,2690,31,816
2023/01/01 05:00:00+00,Rail,Blue Line,826278,41314,20,1116134,36004,31,817
2023/01/01 05:00:00+00,Bus,Bus,4843446,242172,20,6026436,194401,31,818
2023/01/01 05:00:00+00,Commuter Rail,Commuter Rail,1640819,82041,20,1840509,59371,31,819
2023/01/01 05:00:00+00,Ferry,Ferry,53932,2451,20,57755,1863,31,820
2023/01/01 05:00:00+00,Rail,Green Line,2206401,110320,20,3019775,97412,31,821
2023/01/01 05:00:00+00,Rail,Orange Line,1971166,98558,20,2476149,79876,31,822
2023/01/01 05:00:00+00,Rail,Red Line,2472396,123620,20,3133314,101075,31,823
2023/01/01 05:00:00+00,Bus,Silver Line,505262,25263,20,675591,21793,31,824
2023/01/01 05:00:00+00,The RIDE,The RIDE,70378,3199,20,83708,2700,31,825
2023/02/01 05:00:00+00,Rail,Blue Line,820081,43162,19,1063319,37976,28,826
2023/02/01 05:00:00+00,Bus,Bus,4589920,241575,19,5592079,199717,28,827
2023/02/01 05:00:00+00,Commuter Rail,Commuter Rail,1531884,80625,19,1704568,60877,28,828
2023/02/01 05:00:00+00,Ferry,Ferry,48789,2218,19,50578,1806,28,829
2023/02/01 05:00:00+00,Rail,Green Line,2234148,117587,19,2921889,104353,28,830
2023/02/01 05:00:00+00,Rail,Orange Line,1880203,98958,19,2279401,81407,28,831
2023/02/01 05:00:00+00,Rail,Red Line,2337093,123005,19,2871170,102542,28,832
2023/02/01 05:00:00+00,Bus,Silver Line,465735,24512,19,596547,21305,28,833
2023/02/01 05:00:00+00,The RIDE,The RIDE,66080,3304,19,78197,2793,28,834
2023/03/01 05:00:00+00,Rail,Blue Line,1031519,44849,23,1269989,40967,31,835
2023/03/01 05:00:00+00,Bus,Bus,5879290,255621,23,6812317,219752,31,836
2023/03/01 05:00:00+00,Commuter Rail,Commuter Rail,1889751,82163,23,2106535,67953,31,837
2023/03/01 05:00:00+00,Ferry,Ferry,63672,2894,23,65883,2125,31,838
2023/03/01 05:00:00+00,Rail,Green Line,2664211,115835,23,3287289,106042,31,839
2023/03/01 05:00:00+00,Rail,Orange Line,2332041,101393,23,2730502,88081,31,840
2023/03/01 05:00:00+00,Rail,Red Line,2836598,123330,23,3241600,104568,31,841
2023/03/01 05:00:00+00,Bus,Silver Line,615675,26768,23,741245,23911,31,842
2023/03/01 05:00:00+00,The RIDE,The RIDE,82064,3568,23,94862,3060,31,843
2023/04/01 04:00:00+00,Rail,Blue Line,915968,45798,20,1226081,40869,30,844
2023/04/01 04:00:00+00,Bus,Bus,4952698,247635,20,6347726,211591,30,845
2023/04/01 04:00:00+00,Commuter Rail,Commuter Rail,1701832,85092,20,2075362,69179,30,846
2023/04/01 04:00:00+00,Ferry,Ferry,75162,3416,20,81549,2718,30,847
2023/04/01 04:00:00+00,Rail,Green Line,2514478,125724,20,3379047,112635,30,848
2023/04/01 04:00:00+00,Rail,Orange Line,2041560,102078,20,2530301,84343,30,849
2023/04/01 04:00:00+00,Rail,Red Line,2559602,127980,20,3141379,104713,30,850
2023/04/01 04:00:00+00,Bus,Silver Line,523782,26189,20,714204,23807,30,851
2023/04/01 04:00:00+00,The RIDE,The RIDE,70720,3536,20,87143,2905,30,852
2023/05/01 04:00:00+00,Rail,Blue Line,1062255,48284,22,1378765,44476,31,853
2023/05/01 04:00:00+00,Bus,Bus,5867238,266693,22,7017792,226380,31,854
2023/05/01 04:00:00+00,Commuter Rail,Commuter Rail,2056788,93490,22,2318035,74775,31,855
2023/05/01 04:00:00+00,Ferry,Ferry,94646,4302,22,111263,3589,31,856
2023/05/01 04:00:00+00,Rail,Green Line,2632445,119657,22,3364296,108526,31,857
2023/05/01 04:00:00+00,Rail,Orange Line,2235069,101594,22,2752676,88796,31,858
2023/05/01 04:00:00+00,Rail,Red Line,2835398,128882,22,3391252,109395,31,859
2023/05/01 04:00:00+00,Bus,Silver Line,653041,29684,22,819313,26429,31,860
2023/05/01 04:00:00+00,The RIDE,The RIDE,81719,3553,22,95704,3087,31,861
2023/06/01 04:00:00+00,Rail,Blue Line,1083549,49252,22,1361338,45378,30,862
2023/06/01 04:00:00+00,Bus,Bus,5530092,251368,22,6506803,216893,30,863
2023/06/01 04:00:00+00,Commuter Rail,Commuter Rail,2044565,92935,22,2288229,76274,30,864
2023/06/01 04:00:00+00,Ferry,Ferry,111753,5080,22,129884,4329,30,865
2023/06/01 04:00:00+00,Rail,Green Line,2458728,111760,22,3076007,102534,30,866
2023/06/01 04:00:00+00,Rail,Orange Line,2167324,98515,22,2632186,87740,30,867
2023/06/01 04:00:00+00,Rail,Red Line,2771939,125997,22,3357977,111933,30,868
2023/06/01 04:00:00+00,Bus,Silver Line,665353,30243,22,816953,27232,30,869
2023/06/01 04:00:00+00,The RIDE,The RIDE,78100,3550,22,91741,3058,30,870
2023/07/01 04:00:00+00,Rail,Blue Line,1012119,50606,20,1418568,45760,31,871
2023/07/01 04:00:00+00,Bus,Bus,4946173,247309,20,6300653,203247,31,872
2023/07/01 04:00:00+00,Commuter Rail,Commuter Rail,1861427,93071,20,2187378,70561,31,873
2023/07/01 04:00:00+00,Ferry,Ferry,136677,6213,20,177195,5716,31,874
2023/07/01 04:00:00+00,Rail,Green Line,1889599,94480,20,2578698,83184,31,875
2023/07/01 04:00:00+00,Rail,Orange Line,1990562,99528,20,2656511,85694,31,876
2023/07/01 04:00:00+00,Rail,Red Line,2485675,124284,20,3241811,104575,31,877
2023/07/01 04:00:00+00,Bus,Silver Line,616253,30813,20,825974,26644,31,878
2023/07/01 04:00:00+00,The RIDE,The RIDE,71967,3427,20,88664,2860,31,879
2023/08/01 04:00:00+00,Rail,Blue Line,1192710,51857,23,1515024,48872,31,880
2023/08/01 04:00:00+00,Bus,Bus,5611401,243974,23,6666127,215036,31,881
2023/08/01 04:00:00+00,Commuter Rail,Commuter Rail,2133281,92751,23,2396679,77312,31,882
2023/11/01 04:00:00+00,The RIDE,The RIDE,80432,3656,21,94920,3164,30,883
2023/08/01 04:00:00+00,Ferry,Ferry,152556,6633,23,196039,6324,31,884
2023/08/01 04:00:00+00,Rail,Green Line,2064223,89749,23,2642792,85251,31,885
2023/12/01 05:00:00+00,Rail,Blue Line,879538,43977,20,1183285,38170,31,886
2023/08/01 04:00:00+00,Rail,Orange Line,2304171,100181,23,2823763,91089,31,887
2023/12/01 05:00:00+00,Bus,Bus,4903999,245200,20,6201686,200054,31,888
2023/08/01 04:00:00+00,Rail,Red Line,2728212,118618,23,3287688,106054,31,889
2023/12/01 05:00:00+00,Commuter Rail,Commuter Rail,1877089,93854,20,2264824,73059,31,890
2023/08/01 04:00:00+00,Bus,Silver Line,710210,30879,23,876736,28282,31,891
2023/12/01 05:00:00+00,Ferry,Ferry,57186,2859,20,59871,1931,31,892
2023/08/01 04:00:00+00,The RIDE,The RIDE,82731,3597,23,97016,3130,31,893
2023/12/01 05:00:00+00,Rail,Green Line,1423481,71174,20,1923248,62040,31,894
2023/09/01 04:00:00+00,Rail,Blue Line,1012882,50644,20,1352023,45067,30,895
2023/12/01 05:00:00+00,Rail,Orange Line,1985307,99265,20,2583603,83342,31,896
2023/09/01 04:00:00+00,Bus,Bus,5609479,280474,20,6904339,230145,30,897
2023/12/01 05:00:00+00,Rail,Red Line,2155204,107760,20,2781114,89713,31,898
2023/09/01 04:00:00+00,Commuter Rail,Commuter Rail,1825185,91259,20,2117835,70594,30,899
2023/12/01 05:00:00+00,Bus,Silver Line,566533,28327,20,769111,24810,31,900
2023/09/01 04:00:00+00,Ferry,Ferry,102476,5124,20,120663,4022,30,901
2023/12/01 05:00:00+00,The RIDE,The RIDE,72072,3432,20,89966,2902,31,902
2023/09/01 04:00:00+00,Rail,Green Line,1912538,95627,20,2596340,86545,30,903
2024/01/01 05:00:00+00,Rail,Blue Line,892386,42495,21,1137482,36693,31,904
2023/09/01 04:00:00+00,Rail,Orange Line,2173928,108696,20,2773532,92451,30,905
2024/01/01 05:00:00+00,Bus,Bus,5304374,252589,21,6414210,206910,31,906
2023/09/01 04:00:00+00,Rail,Red Line,2614113,130706,20,3293113,109770,30,907
2024/01/01 05:00:00+00,Commuter Rail,Commuter Rail,2050154,97626,21,2356367,76012,31,908
2023/09/01 04:00:00+00,Bus,Silver Line,637690,31884,20,835741,27858,30,909
2024/01/01 05:00:00+00,Ferry,Ferry,69553,3312,21,71528,2307,31,910
2023/09/01 04:00:00+00,The RIDE,The RIDE,76629,3649,20,91812,3060,30,911
2024/01/01 05:00:00+00,Rail,Green Line,847664,40365,21,1072689,34603,31,912
2023/10/01 04:00:00+00,Rail,Blue Line,1116517,50751,22,1422580,45890,31,913
2024/01/01 05:00:00+00,Rail,Orange Line,2265993,107904,21,2804924,90481,31,914
2023/10/01 04:00:00+00,Bus,Bus,6041841,274629,22,7382864,238157,31,915
2024/01/01 05:00:00+00,Rail,Red Line,2307481,109880,21,2820630,90988,31,916
2023/10/01 04:00:00+00,Commuter Rail,Commuter Rail,2160511,98205,22,2548014,82194,31,917
2024/01/01 05:00:00+00,Bus,Silver Line,557230,26535,21,716178,23103,31,918
2023/10/01 04:00:00+00,Ferry,Ferry,110418,5019,22,121462,3918,31,919
2024/01/01 05:00:00+00,The RIDE,The RIDE,78430,3410,21,89863,2899,31,920
2023/10/01 04:00:00+00,Rail,Green Line,2097097,95323,22,2720940,87772,31,921
2024/02/01 05:00:00+00,Rail,Blue Line,867786,43389,20,1127169,38868,29,922
2023/10/01 04:00:00+00,Rail,Orange Line,2500465,113657,22,3089886,99674,31,923
2024/02/01 05:00:00+00,Bus,Bus,5325483,266274,20,6504772,224302,29,924
2023/10/01 04:00:00+00,Rail,Red Line,2683095,121959,22,3272891,105577,31,925
2024/02/01 05:00:00+00,Commuter Rail,Commuter Rail,1994039,99702,20,2291395,79014,29,926
2023/10/01 04:00:00+00,Bus,Silver Line,679341,30879,22,881434,28433,31,927
2024/02/01 05:00:00+00,Ferry,Ferry,62982,3149,20,66611,2297,29,928
2023/10/01 04:00:00+00,The RIDE,The RIDE,83732,3806,22,99606,3213,31,929
2023/11/01 04:00:00+00,Rail,Blue Line,1006989,47952,21,1282685,42756,30,930
2023/11/01 04:00:00+00,Bus,Bus,5628924,268044,21,6702907,223430,30,931
2023/11/01 04:00:00+00,Commuter Rail,Commuter Rail,2084911,99281,21,2342703,78090,30,932
2023/11/01 04:00:00+00,Ferry,Ferry,82819,3944,21,87668,2922,30,933
2023/11/01 04:00:00+00,Rail,Green Line,1732501,82500,21,2269526,75651,30,934
2023/11/01 04:00:00+00,Rail,Orange Line,2274354,108303,21,2761654,92055,30,935
2023/11/01 04:00:00+00,Rail,Red Line,2479743,118083,21,2969252,98975,30,936
2023/11/01 04:00:00+00,Bus,Silver Line,638204,30391,21,808932,26964,30,937
2024/02/01 05:00:00+00,Rail,Green Line,1394515,69726,20,1883810,64959,29,938
2024/02/01 05:00:00+00,Rail,Orange Line,2012491,100625,20,2498734,86163,29,939
2024/02/01 05:00:00+00,Rail,Red Line,2115585,105779,20,2610722,90025,29,940
2024/02/01 05:00:00+00,Bus,Silver Line,567882,28394,20,725807,25028,29,941
2024/02/01 05:00:00+00,The RIDE,The RIDE,75054,3574,20,88625,3056,29,942
2024/03/01 05:00:00+00,Rail,Blue Line,958314,45634,21,1259650,40634,31,943
2024/03/01 05:00:00+00,Bus,Bus,5798089,276099,21,7074289,228203,31,944
2024/03/01 05:00:00+00,Commuter Rail,Commuter Rail,2179134,103768,21,2456987,79258,31,945
2024/03/01 05:00:00+00,Ferry,Ferry,70838,3373,21,75290,2429,31,946
2024/03/01 05:00:00+00,Rail,Green Line,1657764,78941,21,2208323,71236,31,947
2024/03/01 05:00:00+00,Rail,Orange Line,2026736,96511,21,2575085,83067,31,948
2024/03/01 05:00:00+00,Rail,Red Line,2499645,119031,21,3074332,99172,31,949
2024/03/01 05:00:00+00,Bus,Silver Line,658405,31353,21,844945,27256,31,950
2024/03/01 05:00:00+00,The RIDE,The RIDE,82089,3909,21,100148,3231,31,951
2024/04/01 04:00:00+00,Rail,Blue Line,825297,37513,22,1021698,34057,30,952
2024/04/01 04:00:00+00,Bus,Bus,5718315,259923,22,6981285,232710,30,953
2024/04/01 04:00:00+00,Commuter Rail,Commuter Rail,2312422,105110,22,2541466,84716,30,954
2024/04/01 04:00:00+00,Ferry,Ferry,87622,3983,22,93989,3133,30,955
2024/04/01 04:00:00+00,Rail,Green Line,2055985,93454,22,2660864,88695,30,956
2024/04/01 04:00:00+00,Rail,Orange Line,2398515,109023,22,2845851,94862,30,957
2024/04/01 04:00:00+00,Rail,Red Line,2785651,126620,22,3343380,111446,30,958
2024/04/01 04:00:00+00,Bus,Silver Line,650934,29588,22,835010,27834,30,959
2024/04/01 04:00:00+00,The RIDE,The RIDE,83160,3780,22,97699,3257,30,960
2024/05/01 04:00:00+00,Rail,Blue Line,1072946,48770,22,1373447,44305,31,961
2024/05/01 04:00:00+00,Bus,Bus,6210738,282306,22,7404088,238842,31,962
2024/05/01 04:00:00+00,Commuter Rail,Commuter Rail,2405463,109339,22,2678145,86392,31,963
2024/05/01 04:00:00+00,Ferry,Ferry,110043,5002,22,126341,4076,31,964
2024/05/01 04:00:00+00,Rail,Green Line,1994557,90662,22,2607128,84101,31,965
2024/05/01 04:00:00+00,Rail,Orange Line,2156313,98014,22,2658311,85752,31,966
2024/05/01 04:00:00+00,Rail,Red Line,2544884,115677,22,3117512,100565,31,967
2024/05/01 04:00:00+00,Bus,Silver Line,707628,32165,22,883599,28503,31,968
2024/05/01 04:00:00+00,The RIDE,The RIDE,86894,3950,22,101725,3281,31,969
